model_type,clf,parameters,auc-roc,p_at_5,p_at_10,p_at_20
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'n_estimators': 10, 'min_samples_split': 2}",0.8249841497288676,0.4474666666666667,0.3234666666666667,0.22173333333333334
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'n_estimators': 100, 'min_samples_split': 2}",0.8263964000971364,0.4496,0.32133333333333336,0.22093333333333334
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'n_estimators': 10, 'min_samples_split': 10}",0.8253048844288529,0.45013333333333333,0.3248,0.2224
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_features': 'sqrt', 'max_depth': 5, 'n_estimators': 100, 'min_samples_split': 10}",0.8263567709090667,0.45066666666666666,0.324,0.2216
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_features': 'log2', 'max_depth': 5, 'n_estimators': 10, 'min_samples_split': 2}",0.8253044407347121,0.44693333333333335,0.3197333333333333,0.22093333333333334
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_features': 'log2', 'max_depth': 5, 'n_estimators': 100, 'min_samples_split': 2}",0.8260815569813751,0.44853333333333334,0.32506666666666667,0.22066666666666668
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_features': 'log2', 'max_depth': 5, 'n_estimators': 10, 'min_samples_split': 10}",0.8248460429070656,0.44533333333333336,0.3216,0.22346666666666667
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_features': 'log2', 'max_depth': 5, 'n_estimators': 100, 'min_samples_split': 10}",0.8270508601875842,0.44693333333333335,0.32506666666666667,0.222
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_features': 'sqrt', 'max_depth': 50, 'n_estimators': 10, 'min_samples_split': 2}",0.7220802681790729,0.3824,0.3176,0.21933333333333332
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_features': 'sqrt', 'max_depth': 50, 'n_estimators': 100, 'min_samples_split': 2}",0.7740869895050385,0.3781333333333333,0.28933333333333333,0.20093333333333332
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_features': 'sqrt', 'max_depth': 50, 'n_estimators': 10, 'min_samples_split': 10}",0.7684006503275568,0.3797333333333333,0.2832,0.19653333333333334
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_features': 'sqrt', 'max_depth': 50, 'n_estimators': 100, 'min_samples_split': 10}",0.7963104495777498,0.416,0.29546666666666666,0.2052
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_features': 'log2', 'max_depth': 50, 'n_estimators': 10, 'min_samples_split': 2}",0.7249425840124465,0.3872,0.3218666666666667,0.22013333333333332
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_features': 'log2', 'max_depth': 50, 'n_estimators': 100, 'min_samples_split': 2}",0.7738199024814194,0.384,0.28826666666666667,0.20213333333333333
